cumulative_spent_ali,cumulative_spent_usd,total_spent_ali,total_spent_usd,trade_date,date,TVLALI,TVL_USD,tokens_to_credits,lb_rewards
22622.8125,422.95610250000004,5501.875,102.863055,2024-04-04 00:00:00.000 UTC,2024-04-04 00:00:00,17407.603411458338,325.45255338062503,1131.6,7220.0
17120.9375,320.0930475,4062.5,75.9525,2024-04-03 00:00:00.000 UTC,2024-04-03 00:00:00,10382.132812500002,194.10435506249996,0.0,0.0
13058.4375,244.14054750000003,9262.8125,173.17754250000002,2024-04-02 00:00:00.000 UTC,2024-04-02 00:00:00,15311.212500000001,286.2584289000001,0.0,0.0
3795.625,70.96300500000001,98.75,1.84623,2024-04-01 00:00:00.000 UTC,2024-04-01 00:00:00,651.2925267857142,12.176565080785714,0.0,0.0
3696.875,69.116775,0.0,0.0,2024-03-31 00:00:00.000 UTC,2024-03-31 00:00:00,0.0,0.0,0.0,0.0
3696.875,69.116775,915.9375,17.1243675,2024-03-29 00:00:00.000 UTC,2024-03-29 00:00:00,1390.9862767857144,26.00587943078571,0.0,0.0
2780.9375,51.9924075,831.5625,15.5468925,2024-03-28 00:00:00.000 UTC,2024-03-28 00:00:00,4474.091508928572,83.64761485092855,0.0,0.0
1949.375,36.445515,1949.375,36.445515,2024-03-27 00:00:00.000 UTC,2024-03-27 00:00:00,4892.340625000001,91.467200325,0.0,0.0
0.0,0.0,0.0,0.0,0,2024-03-05 00:00:00,0.0,0.0,601.0,0.0
0.0,0.0,0.0,0.0,0,2024-02-05 00:00:00,0.0,0.0,8479.5666,7840.0
0.0,0.0,0.0,0.0,0,2024-01-05 00:00:00,0.0,0.0,1875.3245,10730.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,2121.0015,9095.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,2525.0093,20460.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1060.0,8580.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1237.0109,13465.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,2095.002,12910.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1085.0,5715.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1323.0,1855.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,914.816,7040.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,585.0,5320.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,3250.844,985.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,975.0,1330.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1000.0,6020.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,824.8650667328508,8370.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,2532.891,14925.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1240.0,11605.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1400.0,16140.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1840.0,12610.0
0.0,0.0,0.0,0.0,0,0,0.0,0.0,1700.0,10630.0
