id,amount0,amountUSD,amount1,timestamp
0x27ae3518f186be89aeff4259efe4b8dea53525d0397b353a49a938c65e2ffd93#23179,17130.61141912827,884.6873941466534,-0.30183910541687703,2024-02-22 04:26:47
0x4265ccbc055f626f64c3390c9b0f0896dee3816f2a476cc08839f68262ef3ede#23194,20651.414941023646,1115.2146496480602,-0.3801062591070388,2024-02-22 05:42:11
0x78d891c8a91a6b218d4f9eba73a9c276d650a577e6117bc07e5021221a980a4d#23196,55000.0,2949.8510506041807,-1.005309298967503,2024-02-22 05:59:35
0x00111d6918f31b81ed6d7aba219d7f6b82d332b9c43394644d2f53fb84237023#23204,8907.7606448222,484.6412566016193,-0.16516575025885247,2024-02-22 06:15:23
0x6ee235a3b9cdd8cbda2803e34b429e36f5974e178b787934a3ac10c032d61dc4#23210,17986.294953197645,984.0152507868521,-0.33535241779046726,2024-02-22 06:27:35
0xaddda04c81eff3d7a10a71ab918c83a6bfd7d80787e4f41f005a2caf0f602024#23216,1044.8211400704,58.17028361201758,-0.01970989296939401,2024-02-22 06:48:59
0x3f5233db0173aac5130c0b624f2325644c684520d80495151da743fd22571bb8#23219,2000.0,112.363226552825,-0.03806403525361953,2024-02-22 06:57:35
0x0d74f8cead84b0cee1cd698dde52606c15984b60b74021052504ff1c09afce05#23221,1127.5,63.5943291653621,-0.021496845589094624,2024-02-22 07:18:23
0x6ef5ea92c78040b31921ad6438c214a9246058c703e44e9421763476c75aaaf4#23226,92025.3655,5290.6663612300845,-1.7830721086405203,2024-02-22 07:21:47
0x7d7c4a74ca5fd7fb27e9412f574b254b6985d7072581b8a153e4b17c5828e0b8#23228,17329.13,1043.429648527507,-0.3516426342701627,2024-02-22 07:23:59
0x2ecfda8a7fcf0c2ca16297324eaa3a17a99a60ffe7b97fe1c09cb9b3f7cd494f#23229,53935.11369458969,3224.847177175127,-1.0853028114610852,2024-02-22 07:31:47
