cumulative_spent_ali,cumulative_spent_usd,total_spent_ali,total_spent_usd,trade_date,date,TVLALI,TVL_USD
916469.0625,16651.326396562505,1970.3125,35.7986078125,2024-04-30 00:00:00.000 UTC,2024-04-30 00:00:00+00:00,16726.516444883237,303.9040772870836
914498.75,16615.527788750005,23568.4375,428.21494093750005,2024-04-29 00:00:00.000 UTC,2024-04-29 00:00:00+00:00,110509.41193509396,2007.8455054487224
890930.3125,16187.312847812504,12621.875,229.326846875,2024-04-28 00:00:00.000 UTC,2024-04-28 00:00:00+00:00,74246.2654528263,1348.9803970124021
878308.4375,15957.986000937504,20513.125,372.70296812500004,2024-04-27 00:00:00.000 UTC,2024-04-27 00:00:00+00:00,102548.12421185094,1863.1968688051197
857795.3125,15585.283032812504,25060.625,455.326495625,2024-04-26 00:00:00.000 UTC,2024-04-26 00:00:00+00:00,143185.37597783937,2601.5350961413674
832734.6875,15129.956537187503,153011.875,2780.0727568750003,2024-04-25 00:00:00.000 UTC,2024-04-25 00:00:00+00:00,1675401.206396352,30440.364519015297
679722.8125,12349.883780312502,84485.625,1535.019320625,2024-04-24 00:00:00.000 UTC,2024-04-24 00:00:00+00:00,879621.2366022323,15981.838247825941
595237.1875,10814.864459687502,35920.625,652.641835625,2024-04-23 00:00:00.000 UTC,2024-04-23 00:00:00+00:00,276587.57583703223,5025.31966538304
559316.5625,10162.222624062502,33413.4375,607.0887459375,2024-04-22 00:00:00.000 UTC,2024-04-22 00:00:00+00:00,1556599.2985142714,28281.8526547058
525903.125,9555.133878125002,90631.25,1646.67918125,2024-04-21 00:00:00.000 UTC,2024-04-21 00:00:00+00:00,1157225.4495344735,21025.62919259183
435271.875,7908.454696875001,221279.0625,4020.4192865625005,2024-04-20 00:00:00.000 UTC,2024-04-20 00:00:00+00:00,2111462.944208525,38363.17023332467
213992.8125,3888.0354103125005,46193.75,839.2942437500001,2024-04-19 00:00:00.000 UTC,2024-04-19 00:00:00+00:00,244051.26230542627,4434.167384827286
167799.0625,3048.7411665625004,12409.375,225.46593437500002,2024-04-18 00:00:00.000 UTC,2024-04-18 00:00:00+00:00,62109.11277250049,1128.4604699635609
155389.6875,2823.2752321875005,17653.4375,320.7453059375,2024-04-17 00:00:00.000 UTC,2024-04-17 00:00:00+00:00,53653.30896651782,974.8269706126628
137736.25,2502.5299262500002,13519.687500000002,245.63920218750005,2024-04-16 00:00:00.000 UTC,2024-04-16 00:00:00+00:00,46562.52856156768,845.9945814351232
124216.5625,2256.8907240625003,10111.875,183.722656875,2024-04-15 00:00:00.000 UTC,2024-04-15 00:00:00+00:00,25223.421858115846,458.2843517401072
114104.6875,2073.1680671875,9121.875,165.735346875,2024-04-14 00:00:00.000 UTC,2024-04-14 00:00:00+00:00,18010.88486120651,327.239767043261
104982.8125,1907.4327203125001,5236.250000000001,95.13742625000002,2024-04-13 00:00:00.000 UTC,2024-04-13 00:00:00+00:00,18579.009626831496,337.5620259099016
99746.5625,1812.2952940625,4950.9375,89.9535834375,2024-04-12 00:00:00.000 UTC,2024-04-12 00:00:00+00:00,12584.062301682694,228.639827959273
94795.625,1722.3417106250001,5743.125000000001,104.34683812500002,2024-04-11 00:00:00.000 UTC,2024-04-11 00:00:00+00:00,19700.22765710852,357.93343630200485
89052.5,1617.9948725000002,7700.9375,139.9183334375,2024-04-10 00:00:00.000 UTC,2024-04-10 00:00:00+00:00,19010.75218750001,345.4063564946875
81351.5625,1478.0765390625002,11100.3125,201.68157781250002,2024-04-09 00:00:00.000 UTC,2024-04-09 00:00:00+00:00,28254.558541666644,513.3570741435415
70251.25,1276.39496125,13734.062499999998,249.53418156249998,2024-04-08 00:00:00.000 UTC,2024-04-08 00:00:00+00:00,37425.64537386052,679.986550797672
56517.1875,1026.8607796875,5932.8125,107.79327031250001,2024-04-07 00:00:00.000 UTC,2024-04-07 00:00:00+00:00,16632.462961309524,302.19521954403274
50584.375,919.067509375,19210.3125,349.0321678125,2024-04-06 00:00:00.000 UTC,2024-04-06 00:00:00+00:00,36615.012492275746,665.2581619721586
31374.0625,570.0353415625,8751.25,159.00146125,2024-04-05 00:00:00.000 UTC,2024-04-05 00:00:00+00:00,16060.7596875,291.8079427621875
22622.8125,411.0338803125,5501.875,99.96356687500001,2024-04-04 00:00:00.000 UTC,2024-04-04 00:00:00+00:00,17407.603411458327,316.27874638278615
17120.9375,311.0703134375,4062.5,73.81156250000001,2024-04-03 00:00:00.000 UTC,2024-04-03 00:00:00+00:00,10382.132812499998,188.6329710703125
13058.4375,237.2587509375,9262.8125,168.2960403125,2024-04-02 00:00:00.000 UTC,2024-04-02 00:00:00+00:00,15311.212500000001,278.18941991250017
3795.625,68.96271062500001,98.75,1.7941887500000002,2024-04-01 00:00:00.000 UTC,2024-04-01 00:00:00+00:00,651.2925267857142,11.833333919169645
3696.875,67.16852187500001,0.0,0.0,2024-03-31 00:00:00.000 UTC,2024-03-31 00:00:00+00:00,0.0,0.0
3696.875,67.16852187500001,915.9375,16.6416684375,2024-03-29 00:00:00.000 UTC,2024-03-29 00:00:00+00:00,1390.9862767857144,25.272829662919637
2780.9375,50.5268534375,831.5625,15.108659062500001,2024-03-28 00:00:00.000 UTC,2024-03-28 00:00:00+00:00,4474.091508928572,81.28976862572323
1949.375,35.418194375,1949.375,35.418194375,2024-03-27 00:00:00.000 UTC,2024-03-27 00:00:00+00:00,4892.340624999999,88.888936815625
